"subject_uri","subjectBirthDate","r_property","target"
"http://dbpedia.org/resource/Parviz_Varjavand",1934-01-05,"almaMater","http://dbpedia.org/resource/University_of_Paris"
"http://dbpedia.org/resource/Parviz_Varjavand",1934-01-05,"almaMater","http://dbpedia.org/resource/University_of_Tehran"
"http://dbpedia.org/resource/Karl_Butzer",1934-08-19,"almaMater","http://dbpedia.org/resource/University_of_Bonn"
"http://dbpedia.org/resource/Karl_Butzer",1934-08-19,"almaMater","http://dbpedia.org/resource/McGill_University"
"http://dbpedia.org/resource/John_Clegg_(archaeologist)",1935-01-11,"almaMater","http://dbpedia.org/resource/Cambridge_University"
"http://dbpedia.org/resource/Josephine_Flood",1936-07-25,"almaMater","http://dbpedia.org/resource/Cambridge_University"
"http://dbpedia.org/resource/Josephine_Flood",1936-07-25,"almaMater","http://dbpedia.org/resource/Australian_National_University"
"http://dbpedia.org/resource/Cynthia_Irwin-Williams",1936-04-14,"almaMater","http://dbpedia.org/resource/Harvard_University"
"http://dbpedia.org/resource/Cynthia_Irwin-Williams",1936-04-14,"almaMater","http://dbpedia.org/resource/Radcliffe_College"
"http://dbpedia.org/resource/Hilary_Deacon",1936-01-10,"almaMater","http://dbpedia.org/resource/University_of_Cape_Town"
"http://dbpedia.org/resource/Bryant_G._Wood",1936,"almaMater","http://dbpedia.org/resource/University_of_Michigan"
"http://dbpedia.org/resource/Josephine_Flood",1936-07-25,"institution","http://dbpedia.org/resource/Australian_National_University"
"http://dbpedia.org/resource/Josephine_Flood",1936-07-25,"institution","http://dbpedia.org/resource/Australian_Heritage_Commission"
"http://dbpedia.org/resource/Hilary_Deacon",1936-01-10,"institution","http://dbpedia.org/resource/University_of_Stellenbosch"
"http://dbpedia.org/resource/Colin_Renfrew",1937-07-25,"almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge"
"http://dbpedia.org/resource/Glynn_Isaac",1937-11-19,"almaMater","http://dbpedia.org/resource/Peterhouse,_Cambridge"
"http://dbpedia.org/resource/Glynn_Isaac",1937-11-19,"almaMater","http://dbpedia.org/resource/University_of_Cape_Town"
"http://dbpedia.org/resource/Glynn_Isaac",1937-11-19,"institution","http://dbpedia.org/resource/University_of_California,_Berkeley"
"http://dbpedia.org/resource/Glynn_Isaac",1937-11-19,"institution","http://dbpedia.org/resource/Harvard_University"
"http://dbpedia.org/resource/Peter_Ucko",1938-07-27,"almaMater","http://dbpedia.org/resource/University_College_London"
"http://dbpedia.org/resource/Janette_Deacon",1939-11-25,"almaMater","http://dbpedia.org/resource/University_of_Cape_Town"
"http://dbpedia.org/resource/Janette_Deacon",1939-11-25,"institution","http://dbpedia.org/resource/University_of_South_Africa"
"http://dbpedia.org/resource/Janette_Deacon",1939-11-25,"institution","http://dbpedia.org/resource/University_of_the_Witwatersrand"
"http://dbpedia.org/resource/Janette_Deacon",1939-11-25,"institution","http://dbpedia.org/resource/National_Monuments_Council_(South_Africa_and_Namibia)"
"http://dbpedia.org/resource/Janette_Deacon",1939-11-25,"institution","http://dbpedia.org/resource/South_African_Heritage_Resources_Agency"
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15,"almaMater","http://dbpedia.org/resource/University_of_Cambridge"
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15,"almaMater","http://dbpedia.org/resource/University_of_Cape_Town"
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15,"almaMater","http://dbpedia.org/resource/Australian_National_University"
