"subject_uri","subjectBirthDate","birthPlace","birthPoint","r_property","organisation","orgPoint"
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03,"http://dbpedia.org/resource/Glasgow","55.861111111111114 -4.25","institution","http://dbpedia.org/resource/University_of_Glasgow","55.871944444444445 -4.2875"
"http://dbpedia.org/resource/Chen_Mengjia",1911-04-20,"http://dbpedia.org/resource/Nanjing","32.0614 118.7636","almaMater","http://dbpedia.org/resource/Yenching_University","39.9917 116.304"
"http://dbpedia.org/resource/Irving_Rouse",1913-08-29,"http://dbpedia.org/resource/Rochester,_New_York","43.16555555555556 -77.61138888888888","almaMater","http://dbpedia.org/resource/Yale_University","41.31638888888889 -72.92222222222222"
"http://dbpedia.org/resource/Zdenko_Vinski",1913-05-03,"http://dbpedia.org/resource/Zagreb","45.81666666666667 15.983333333333333","almaMater","http://dbpedia.org/resource/University_of_Vienna","48.213055555555556 16.35972222222222"
"http://dbpedia.org/resource/Muazzez_İlmiye_Çığ",1914-06-20,"http://dbpedia.org/resource/Bursa","40.18333333333333 29.05","almaMater","http://dbpedia.org/resource/Ankara_University","39.9367 32.8303"
"http://dbpedia.org/resource/Rúaidhrí_de_Valera",1916-11-03,"http://dbpedia.org/resource/Dublin","53.35 -6.260277777777778","almaMater","http://dbpedia.org/resource/University_College_Dublin","53.30833333333333 -6.222222222222222"
"http://dbpedia.org/resource/Margaret_Ursula_Jones",1916-05-16,"http://dbpedia.org/resource/Birkenhead","53.393 -3.014","institution","http://dbpedia.org/resource/Mucking_(archaeological_site)","51.49388888888889 0.43"
"http://dbpedia.org/resource/Honor_Frost",1917-10-28,"http://dbpedia.org/resource/Nicosia","35.1725 33.365","institution","http://dbpedia.org/resource/UCL_Institute_of_Archaeology","51.525 -0.13166666666666668"
"http://dbpedia.org/resource/Ahmad_Hasan_Dani",1920-06-20,"http://dbpedia.org/resource/Basna","21.28 82.82","almaMater","http://dbpedia.org/resource/Banaras_Hindu_University","25.2677 82.9891"
"http://dbpedia.org/resource/Marija_Gimbutas",1921-01-23,"http://dbpedia.org/resource/Vilnius","54.687222222222225 25.28","almaMater","http://dbpedia.org/resource/Vilnius_University","54.6825 25.287222222222223"
"http://dbpedia.org/resource/Su_Bai",1922-08-03,"http://dbpedia.org/resource/Liaoning","41.1 122.3","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Su_Bai",1922-08-03,"http://dbpedia.org/resource/Shenyang","41.8025 123.42805555555556","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"http://dbpedia.org/resource/Terrell,_Texas","32.7375 -96.2825","almaMater","http://dbpedia.org/resource/Harvard_University","42.37444444444444 -71.11694444444444"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"http://dbpedia.org/resource/Terrell,_Texas","32.7375 -96.2825","institution","http://dbpedia.org/resource/Texas_Tech_University","33.584 -101.878"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"http://dbpedia.org/resource/Terrell,_Texas","32.7375 -96.2825","institution","http://dbpedia.org/resource/Southern_Methodist_University","32.83855 -96.78294"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Zhejiang","29.2 120.5","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Zhejiang","29.2 120.5","almaMater","http://dbpedia.org/resource/Zhejiang_University","30.26361111111111 120.12083333333334"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Ningbo","29.869 121.554","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Ningbo","29.8603 121.6245","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Ningbo","29.869 121.554","almaMater","http://dbpedia.org/resource/Zhejiang_University","30.26361111111111 120.12083333333334"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Ningbo","29.8603 121.6245","almaMater","http://dbpedia.org/resource/Zhejiang_University","30.26361111111111 120.12083333333334"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"http://dbpedia.org/resource/Tehran","35.689166666666665 51.388888888888886","almaMater","http://dbpedia.org/resource/University_of_Tehran","35.70333333333333 51.395"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"http://dbpedia.org/resource/Tehran","35.689166666666665 51.388888888888886","institution","http://dbpedia.org/resource/University_of_Tehran","35.70333333333333 51.395"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"http://dbpedia.org/resource/Tehran","35.689166666666665 51.388888888888886","institution","http://dbpedia.org/resource/National_Museum_of_Iran","35.687044444444446 51.414611111111114"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"http://dbpedia.org/resource/Norfolk,_Virginia","36.846944444444446 -76.28527777777778","almaMater","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"http://dbpedia.org/resource/Norfolk,_Virginia","36.846944444444446 -76.28527777777778","almaMater","http://dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill","35.908611111111114 -79.04916666666666"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"http://dbpedia.org/resource/Norfolk,_Virginia","36.846944444444446 -76.28527777777778","almaMater","http://dbpedia.org/resource/Virginia_Tech","37.225 -80.425"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"http://dbpedia.org/resource/Norfolk,_Virginia","36.846944444444446 -76.28527777777778","institution","http://dbpedia.org/resource/University_of_Chicago","41.789722222222224 -87.59972222222223"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"http://dbpedia.org/resource/Norfolk,_Virginia","36.846944444444446 -76.28527777777778","institution","http://dbpedia.org/resource/University_of_New_Mexico","35.08389 -106.61861"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"http://dbpedia.org/resource/Norfolk,_Virginia","36.846944444444446 -76.28527777777778","institution","http://dbpedia.org/resource/Southern_Methodist_University","32.83855 -96.78294"
"http://dbpedia.org/resource/George_Bass_(archaeologist)",1932-12-09,"http://dbpedia.org/resource/Columbia,_South_Carolina","34.00055555555556 -81.03472222222223","almaMater","http://dbpedia.org/resource/University_of_Pennsylvania","39.95 -75.19"
"http://dbpedia.org/resource/George_Bass_(archaeologist)",1932-12-09,"http://dbpedia.org/resource/Columbia,_South_Carolina","34.00055555555556 -81.03472222222223","institution","http://dbpedia.org/resource/Texas_A&M_University","30.610277777777778 -96.34361111111112"
"http://dbpedia.org/resource/Li_Xueqin",1933-03-28,"http://dbpedia.org/resource/Beijing","39.906666666666666 116.3975","almaMater","http://dbpedia.org/resource/Tsinghua_University","40.0 116.32666666666667"
"http://dbpedia.org/resource/Karl_Butzer",1934-08-19,"http://dbpedia.org/resource/Mülheim","51.4275 6.8825","almaMater","http://dbpedia.org/resource/University_of_Bonn","50.73388888888889 7.102222222222222"
"http://dbpedia.org/resource/Karl_Butzer",1934-08-19,"http://dbpedia.org/resource/Mülheim","51.4275 6.8825","almaMater","http://dbpedia.org/resource/McGill_University","45.50416666666667 -73.57472222222222"
"http://dbpedia.org/resource/Parviz_Varjavand",1934-01-05,"http://dbpedia.org/resource/Tehran","35.689166666666665 51.388888888888886","almaMater","http://dbpedia.org/resource/University_of_Tehran","35.70333333333333 51.395"
"http://dbpedia.org/resource/Colin_Renfrew",1937-07-25,"http://dbpedia.org/resource/Stockton-on-Tees","54.57 -1.32","almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge","52.20805555555555 0.11666666666666667"
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15,"http://dbpedia.org/resource/Cape_Town","-33.92527777777778 18.42388888888889","almaMater","http://dbpedia.org/resource/University_of_Cambridge","52.20527777777778 0.11722222222222221"
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15,"http://dbpedia.org/resource/Cape_Town","-33.92527777777778 18.42388888888889","almaMater","http://dbpedia.org/resource/University_of_Cape_Town","-33.9575 18.460555555555555"
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15,"http://dbpedia.org/resource/Cape_Town","-33.92527777777778 18.42388888888889","almaMater","http://dbpedia.org/resource/Australian_National_University","-35.2778 149.1205"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","almaMater","http://dbpedia.org/resource/University_of_Chicago","41.789722222222224 -87.59972222222223"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","almaMater","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15,"http://dbpedia.org/resource/Cape_Town","-33.92527777777778 18.42388888888889","institution","http://dbpedia.org/resource/Rutgers_University","40.501666666666665 -74.44805555555556"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","institution","http://dbpedia.org/resource/University_of_Chicago","41.789722222222224 -87.59972222222223"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","institution","http://dbpedia.org/resource/University_of_Wisconsin–Milwaukee","43.075 -87.8829"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","institution","http://dbpedia.org/resource/Stanford_University","37.4282293 -122.1688576"
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","institution","http://dbpedia.org/resource/Northwestern_University","42.0548 -87.6739"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"http://dbpedia.org/resource/Chilaw","7.583333333333333 79.8","almaMater","http://dbpedia.org/resource/S._Thomas'_College,_Mount_Lavinia","6.8374 79.86503333333333"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"http://dbpedia.org/resource/Chilaw","7.583333333333333 79.8","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"http://dbpedia.org/resource/Chilaw","7.583333333333333 79.8","almaMater","http://dbpedia.org/resource/Harvard_University","42.37444444444444 -71.11694444444444"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"http://dbpedia.org/resource/Ratnapura","6.680555555555555 80.40222222222222","almaMater","http://dbpedia.org/resource/S._Thomas'_College,_Mount_Lavinia","6.8374 79.86503333333333"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"http://dbpedia.org/resource/Ratnapura","6.680555555555555 80.40222222222222","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01,"http://dbpedia.org/resource/Ratnapura","6.680555555555555 80.40222222222222","almaMater","http://dbpedia.org/resource/Harvard_University","42.37444444444444 -71.11694444444444"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"http://dbpedia.org/resource/Shiraz","29.61 52.5425","institution","http://dbpedia.org/resource/University_of_Göttingen","51.54194444444445 9.934444444444445"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"http://dbpedia.org/resource/Shiraz","29.61 52.5425","institution","http://dbpedia.org/resource/University_of_Tehran","35.70333333333333 51.395"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"http://dbpedia.org/resource/Shiraz","29.61 52.5425","institution","http://dbpedia.org/resource/Columbia_University","40.8075 -73.96194444444444"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"http://dbpedia.org/resource/Shiraz","29.61 52.5425","institution","http://dbpedia.org/resource/Shiraz_University","29.639741666666666 52.52675"
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04,"http://dbpedia.org/resource/Shiraz","29.61 52.5425","institution","http://dbpedia.org/resource/Harvard_University","42.37444444444444 -71.11694444444444"
"http://dbpedia.org/resource/Victor_Spinei",1943-10-26,"http://dbpedia.org/resource/Lozova,_Strășeni","47.1327777778 28.3855555556","almaMater","http://dbpedia.org/resource/University_of_Bucharest","44.43555555555555 26.101116666666666"
"http://dbpedia.org/resource/Victor_Spinei",1943-10-26,"http://dbpedia.org/resource/Lozova,_Strășeni","47.1327777778 28.3855555556","almaMater","http://dbpedia.org/resource/Alexandru_Ioan_Cuza_University","47.174231 27.571691"
"http://dbpedia.org/resource/Donald_Johanson",1943-06-28,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","almaMater","http://dbpedia.org/resource/University_of_Chicago","41.789722222222224 -87.59972222222223"
"http://dbpedia.org/resource/Donald_Johanson",1943-06-28,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","institution","http://dbpedia.org/resource/Arizona_State_University","33.421 -111.933"
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","almaMater","http://dbpedia.org/resource/University_of_California,_Los_Angeles","34.06944444444444 -118.44527777777778"
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","almaMater","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","institution","http://dbpedia.org/resource/Albion_College","42.2445 -84.7434"
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10,"http://dbpedia.org/resource/Chicago","41.88194444444444 -87.62777777777778","institution","http://dbpedia.org/resource/Northwestern_University","42.0548 -87.6739"
